scenario,period,metric,category,value,unit,base_case_value,variance_vs_base,variance_vs_base_percent,scenario_logic,main_driver,risk_level,interpretation,source_or_basis,validation_status,notes
Optimistic,2027E,ROA,Profitability,0.871,%,0.769,0.102,13.264,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for ROA. Scenario value: 0.871 %; Base case: 0.769 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,ROA,Profitability,0.652,%,0.769,-0.117,-15.215,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for ROA. Scenario value: 0.652 %; Base case: 0.769 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Cost-to-income ratio,Efficiency,40.279,%,40.279,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Cost-to-income ratio: 40.279 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Cost-to-income ratio,Efficiency,37.999,%,40.279,-2.28,-5.661,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is below the Base case for Cost-to-income ratio. Scenario value: 37.999 %; Base case: 40.279 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Cost-to-income ratio,Efficiency,42.954,%,40.279,2.675,6.641,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is above the Base case for Cost-to-income ratio. Scenario value: 42.954 %; Base case: 40.279 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Loan-to-deposit ratio,Liquidity,55.054,%,55.054,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Loan-to-deposit ratio: 55.054 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Loan-to-deposit ratio,Liquidity,54.785,%,55.054,-0.269,-0.489,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is below the Base case for Loan-to-deposit ratio. Scenario value: 54.785 %; Base case: 55.054 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Loan-to-deposit ratio,Liquidity,54.513,%,55.054,-0.541,-0.983,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for Loan-to-deposit ratio. Scenario value: 54.513 %; Base case: 55.054 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Cost of risk,Asset Quality,49.995,bps,49.995,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Cost of risk: 49.995 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Cost of risk,Asset Quality,35.0,bps,49.995,-14.995,-29.993,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is below the Base case for Cost of risk. Scenario value: 35.000 bps; Base case: 49.995 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Cost of risk,Asset Quality,75.001,bps,49.995,25.006,50.017,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is above the Base case for Cost of risk. Scenario value: 75.001 bps; Base case: 49.995 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,CET1 ratio assumption,Capital,16.0,%,16.0,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for CET1 ratio assumption: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,CET1 ratio assumption,Capital,16.4,%,16.0,0.4,2.5,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for CET1 ratio assumption. Scenario value: 16.400 %; Base case: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,CET1 ratio assumption,Capital,15.2,%,16.0,-0.8,-5.0,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for CET1 ratio assumption. Scenario value: 15.200 %; Base case: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Operating income,Profitability,3732.9,EUR million,3732.9,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Operating income: 3732.900 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Operating income,Profitability,3987.8,EUR million,3732.9,254.9,6.828,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for Operating income. Scenario value: 3987.800 EUR million; Base case: 3732.900 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Operating income,Profitability,3503.2,EUR million,3732.9,-229.7,-6.153,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for Operating income. Scenario value: 3503.200 EUR million; Base case: 3732.900 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Operating costs,Efficiency,1531.3,EUR million,1531.3,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Operating costs: 1531.300 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Operating costs,Efficiency,1516.5,EUR million,1531.3,-14.8,-0.966,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is below the Base case for Operating costs. Scenario value: 1516.500 EUR million; Base case: 1531.300 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Operating costs,Efficiency,1576.5,EUR million,1531.3,45.2,2.952,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is above the Base case for Operating costs. Scenario value: 1576.500 EUR million; Base case: 1531.300 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Pre-provision operating profit,Profitability,2201.6,EUR million,2201.6,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Pre-provision operating profit: 2201.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Pre-provision operating profit,Profitability,2471.3,EUR million,2201.6,269.7,12.25,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for Pre-provision operating profit. Scenario value: 2471.300 EUR million; Base case: 2201.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Pre-provision operating profit,Profitability,1926.6,EUR million,2201.6,-275.0,-12.491,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for Pre-provision operating profit. Scenario value: 1926.600 EUR million; Base case: 2201.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Impairments and provisions,Asset Quality,329.7,EUR million,329.7,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Impairments and provisions: 329.700 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Impairments and provisions,Asset Quality,271.6,EUR million,329.7,-58.1,-17.622,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is below the Base case for Impairments and provisions. Scenario value: 271.600 EUR million; Base case: 329.700 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Impairments and provisions,Asset Quality,470.9,EUR million,329.7,141.2,42.827,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is above the Base case for Impairments and provisions. Scenario value: 470.900 EUR million; Base case: 329.700 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Net income,Profitability,866.4,EUR million,866.4,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Net income: 866.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Net income,Profitability,1018.2,EUR million,866.4,151.8,17.521,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for Net income. Scenario value: 1018.200 EUR million; Base case: 866.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Net income,Profitability,673.8,EUR million,866.4,-192.6,-22.23,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for Net income. Scenario value: 673.800 EUR million; Base case: 866.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Customer loans,Balance Sheet,65947.2,EUR million,65947.2,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Customer loans: 65947.200 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Customer loans,Balance Sheet,67896.3,EUR million,65947.2,1949.1,2.956,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for Customer loans. Scenario value: 67896.300 EUR million; Base case: 65947.200 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Customer loans,Balance Sheet,62780.2,EUR million,65947.2,-3167.0,-4.802,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for Customer loans. Scenario value: 62780.200 EUR million; Base case: 65947.200 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Customer deposits,Balance Sheet,119205.4,EUR million,119205.4,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Customer deposits: 119205.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Customer deposits,Balance Sheet,123931.8,EUR million,119205.4,4726.4,3.965,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for Customer deposits. Scenario value: 123931.800 EUR million; Base case: 119205.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Customer deposits,Balance Sheet,115166.3,EUR million,119205.4,-4039.1,-3.388,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for Customer deposits. Scenario value: 115166.300 EUR million; Base case: 119205.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Equity,Capital,10397.5,EUR million,10397.5,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Equity: 10397.500 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Equity,Capital,10580.1,EUR million,10397.5,182.6,1.756,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for Equity. Scenario value: 10580.100 EUR million; Base case: 10397.500 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Equity,Capital,10169.8,EUR million,10397.5,-227.7,-2.19,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for Equity. Scenario value: 10169.800 EUR million; Base case: 10397.500 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,ROE,Profitability,8.333,%,8.333,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for ROE: 8.333 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,ROE,Profitability,9.624,%,8.333,1.291,15.493,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for ROE. Scenario value: 9.624 %; Base case: 8.333 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,ROE,Profitability,6.625,%,8.333,-1.708,-20.497,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for ROE. Scenario value: 6.625 %; Base case: 8.333 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,ROA,Profitability,0.739,%,0.739,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for ROA: 0.739 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,ROA,Profitability,0.84,%,0.739,0.101,13.667,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for ROA. Scenario value: 0.840 %; Base case: 0.739 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,ROA,Profitability,0.6,%,0.739,-0.139,-18.809,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for ROA. Scenario value: 0.600 %; Base case: 0.739 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Cost-to-income ratio,Efficiency,41.022,%,41.022,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Cost-to-income ratio: 41.022 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Cost-to-income ratio,Efficiency,38.028,%,41.022,-2.994,-7.299,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is below the Base case for Cost-to-income ratio. Scenario value: 38.028 %; Base case: 41.022 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Cost-to-income ratio,Efficiency,45.002,%,41.022,3.98,9.702,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is above the Base case for Cost-to-income ratio. Scenario value: 45.002 %; Base case: 41.022 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Loan-to-deposit ratio,Liquidity,55.322,%,55.322,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Loan-to-deposit ratio: 55.322 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Loan-to-deposit ratio,Liquidity,54.785,%,55.322,-0.537,-0.971,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is below the Base case for Loan-to-deposit ratio. Scenario value: 54.785 %; Base case: 55.322 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Loan-to-deposit ratio,Liquidity,54.513,%,55.322,-0.809,-1.462,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for Loan-to-deposit ratio. Scenario value: 54.513 %; Base case: 55.322 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,Cost of risk,Asset Quality,49.995,bps,49.995,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for Cost of risk: 49.995 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,Cost of risk,Asset Quality,40.002,bps,49.995,-9.993,-19.988,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is below the Base case for Cost of risk. Scenario value: 40.002 bps; Base case: 49.995 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,Cost of risk,Asset Quality,75.008,bps,49.995,25.013,50.031,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is above the Base case for Cost of risk. Scenario value: 75.008 bps; Base case: 49.995 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2028E,CET1 ratio assumption,Capital,16.0,%,16.0,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2028E base case reference for CET1 ratio assumption: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2028E,CET1 ratio assumption,Capital,16.5,%,16.0,0.5,3.125,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2028E Optimistic case is above the Base case for CET1 ratio assumption. Scenario value: 16.500 %; Base case: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2028E,CET1 ratio assumption,Capital,15.0,%,16.0,-1.0,-6.25,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2028E Conservative case is below the Base case for CET1 ratio assumption. Scenario value: 15.000 %; Base case: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
